Tier;Material Group;Raw material;Processstep;Impactcountry;Environmentalimpactgroup;Indicator unit;Material_ePKI_intensity;Valued_Ekpi_intensity
3.0;Synthetic Fibers;Synthetic Fibers - elastic;Processing;Slovenia;GHGs;kg CO2e;1.2463129035;0.0915756871633
3.0;Wood;Wood - MDF;Processing;Slovenia;GHGs;kg CO2e;1.21552356418;0.0893133701337
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;Slovenia;GHGs;kg CO2e;0.047370627664;0.00348066506213
4.0;Synthetic Fibers;Synthetic Fibers - elastic;Extraction;Slovenia;GHGs;kg CO2e;0.0690974841;0.0050770954629
3.0;Fur;Fur;Abattoir;South Africa;GHGs;kg CO2e;1.8254128803;0.134126380623
3.0;Leather;Leather - beef - calf - conventional;Abattoir;South Africa;GHGs;kg CO2e;0.5134819043;0.0377292557111
3.0;Precious skin;Precious skin - croc and gator - farmed;Tanning - precious skins;South Africa;GHGs;kg CO2e;6.54187199487;0.480678986458
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - RH_WB;South Africa;GHGs;kg CO2e;0.8609904491;0.0632632397498
3.0;Animal Fibers;Animal Fibers - mohair - conventional;Washing;South Africa;GHGs;kg CO2e;3.45909111315;0.254164620103
3.0;Animal Fibers;Animal Fibers - mohair - restorative grazing;Washing;South Africa;GHGs;kg CO2e;3.45909111315;0.254164620103
3.0;Plant Fibers;Plant Fibers - cotton - conventional;Ginning;South Africa;GHGs;kg CO2e;1.11463332874;0.0819002296515
3.0;Metal;Metal - titanium;Processing;South Africa;GHGs;kg CO2e;2.6701639577;0.196196395446
4.0;Animal Fibers;Animal Fibers - mohair - conventional;Animal rearing;South Africa;GHGs;kg CO2e;305.118994042;22.4193149791
4.0;Fur;Fur;Animal rearing;South Africa;GHGs;kg CO2e;158.742895005;11.6639967793
4.0;Animal Fibers;Animal Fibers - wool - conventional;Animal rearing;South Africa;GHGs;kg CO2e;46.4140478362;3.41037817445
4.0;Precious skin;Precious skin - croc and gator - farmed;Animal rearing;South Africa;GHGs;kg CO2e;89.392411441;6.56831160289
4.0;Metal;Metal - palladium - solid;Extraction;South Africa;GHGs;kg CO2e;3405.48647074;250.225896569
4.0;Metal;Metal - titanium;Extraction;South Africa;GHGs;kg CO2e;1.7373359519;0.127654727141
4.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Extraction;South Africa;GHGs;kg CO2e;0.2032088203;0.0149312322005
4.0;Natural Stones;Natural Stones - semi precious stones - conventional;Extraction;South Africa;GHGs;kg CO2e;0.0306379647229;0.00225119443512
3.0;Fur;Fur - lamb;Abattoir;Spain;GHGs;kg CO2e;1.8254128803;0.134126380623
3.0;Leather;Leather - goat - conventional;Abattoir;Spain;GHGs;kg CO2e;0.54333699;0.0399229263219
3.0;Animal Fibers;Animal Fibers - cashmere - conventional;Spinning Weaving and Dyeing;Spain;GHGs;kg CO2e;4.4645138427;0.328040351542
3.0;Animal Fibers;Animal Fibers - silk - organic;Spinning Weaving and Dyeing;Spain;GHGs;kg CO2e;4.4645138427;0.328040351542
3.0;Animal Fibers;Animal Fibers - wool - regenerated;Spinning Weaving and Dyeing;Spain;GHGs;kg CO2e;4.4645138427;0.328040351542
3.0;Animal Fibers;Animal Fibers - wool - restorative grazing;Spinning Weaving and Dyeing;Spain;GHGs;kg CO2e;4.4645138427;0.328040351542
3.0;Cellulose based Fibers;Cellulose based Fibers - acetate;Spinning Weaving and Dyeing;Spain;GHGs;kg CO2e;4.54611382753;0.334036096802
3.0;Plant Fibers;Plant Fibers - linen - organic;Spinning Weaving and Dyeing;Spain;GHGs;kg CO2e;4.26478049343;0.313364487514
3.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Spinning Weaving and Dyeing;Spain;GHGs;kg CO2e;9.09222765506;0.668072193604
3.0;Leather;Leather - sheep/goat - conventional;Tanning - RH_WB;Spain;GHGs;kg CO2e;1.36372435547;0.100202761765
3.0;Fur;Fur;Tanning - WB_FL;Spain;GHGs;kg CO2e;1.0541711125;0.0774576302178
3.0;Leather;Leather - beef - calf - conventional;Tanning - RH_WB - Metal-free;Spain;GHGs;kg CO2e;0.6373521397;0.0468309041767
3.0;Leather;Leather - goat - conventional;Tanning - RH_WB;Spain;GHGs;kg CO2e;0.8661206441;0.0636401925448
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - RH_WB - Metal-free;Spain;GHGs;kg CO2e;0.6373521397;0.0468309041767
3.0;Plant Fibers;Plant Fibers - cotton - organic;Ginning;Spain;GHGs;kg CO2e;0.490861254612;0.0360671518097
3.0;Cellulose based Fibers;Cellulose based Fibers - acetate;Processing;Spain;GHGs;kg CO2e;2.1554843659;0.158379136911
3.0;Plastic;Plastic - acetal;Processing;Spain;GHGs;kg CO2e;11.7012976188;0.859779568305
3.0;Plastic;Plastic - pe;Processing;Spain;GHGs;kg CO2e;3.8564787624;0.283363585265
3.0;Plastic;Plastic - polystyrene;Processing;Spain;GHGs;kg CO2e;3.4292489699;0.251971900468
3.0;Plastic;Plastic - pvc;Processing;Spain;GHGs;kg CO2e;1.6330856818;0.119994700438
3.0;Synthetic Fibers;Synthetic Fibers - acrylic;Processing;Spain;GHGs;kg CO2e;3.415741349;0.250979397171
3.0;Other;Other - cork;Processing;Spain;GHGs;kg CO2e;0.127147211849;0.00934243179481
3.0;Plastic;Plastic - polyurethane;Processing;Spain;GHGs;kg CO2e;2.78525653;0.204653085068
4.0;Fur;Fur - lamb;Animal rearing;Spain;GHGs;kg CO2e;114.488893023;8.41233290752
4.0;Plant Fibers;Plant Fibers - cotton - organic;Crop farming;Spain;GHGs;kg CO2e;1.44723886151;0.106339180843
4.0;Plant Fibers;Plant Fibers - cotton - conventional;Crop farming;Spain;GHGs;kg CO2e;2.27850670369;0.167418484163
4.0;Leather;Leather - sheep/goat - conventional;Animal rearing;Spain;GHGs;kg CO2e;33.645931707;2.47221167948
4.0;Rubber;Rubber - synthetic;Extraction;Spain;GHGs;kg CO2e;0.112322032073;0.00825311785007
4.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Extraction;Spain;GHGs;kg CO2e;0.9514785994;0.069912063268
4.0;Other;Other - cork;Production;Spain;GHGs;kg CO2e;0.0060655682;0.000445681477253
4.0;Natural Stones;Natural Stones - precious stones - conventional;Extraction;Sri Lanka;GHGs;kg CO2e;94.6452045354;6.95427257289
4.0;Natural Stones;Natural Stones - semi precious stones - conventional;Extraction;Sri Lanka;GHGs;kg CO2e;0.0306308068;0.00225066849039
3.0;Cellulose based Fibers;Cellulose based Fibers - certified;Dissolving pulp production;Sweden;GHGs;kg CO2e;4.50347419;0.330903052045
3.0;Cellulose based Fibers;Cellulose based Fibers - certified;Staple fiber production;Sweden;GHGs;kg CO2e;0.180474413091;0.0132607697054
3.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Staple fiber production;Sweden;GHGs;kg CO2e;0.668610148912;0.0491276577969
3.0;Wood;Wood - softwood;Processing;Sweden;GHGs;kg CO2e;0.111742450534;0.00821053177275
4.0;Cellulose based Fibers;Cellulose based Fibers - certified;Pulpwood harvest;Sweden;GHGs;kg CO2e;0.04362827;0.00320568678522
4.0;Wood;Wood - softwood;Production;Sweden;GHGs;kg CO2e;0.0209126363;0.0015366037166
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;Switzerland;GHGs;kg CO2e;0.4547176683;0.0334114192535
3.0;Metal;Metal - gold - 18kt - yellow - conventional;Processing;Switzerland;GHGs;kg CO2e;9.8295947004;0.722251921406
3.0;Animal Fibers;Animal Fibers - cashmere - conventional;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;4.10682896315;0.301758638065
3.0;Animal Fibers;Animal Fibers - cashmere - regenerated;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;4.10682896315;0.301758638065
3.0;Animal Fibers;Animal Fibers - silk - organic;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;4.10682896315;0.301758638065
3.0;Animal Fibers;Animal Fibers - wool - organic;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;4.10682896315;0.301758638065
3.0;Cellulose based Fibers;Cellulose based Fibers - certified;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;4.12910560213;0.303395464993
3.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;4.12910560213;0.303395464993
3.0;Plant Fibers;Plant Fibers - cotton - organic;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;3.84777226803;0.282723855705
3.0;Plant Fibers;Plant Fibers - cotton - recycled;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;3.84777226803;0.282723855705
3.0;Plant Fibers;Plant Fibers - hemp;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;3.84777226803;0.282723855705
3.0;Plant Fibers;Plant Fibers - linen - conventional;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;3.84777226803;0.282723855705
3.0;Synthetic Fibers;Synthetic Fibers - elastic;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;4.12910560213;0.303395464993
3.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;4.12910560213;0.303395464993
3.0;Synthetic Fibers;Synthetic Fibers - polyester - recycled;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;4.12910560213;0.303395464993
3.0;Leather;Leather - beef - calf - conventional;Tanning - RH_WB;Switzerland;GHGs;kg CO2e;0.8661206441;0.0636401925448
3.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Staple fiber production;Switzerland;GHGs;kg CO2e;0.179382238564;0.0131805196876
3.0;Metal;Metal - gold - 24kt - Kering responsible;Processing;Switzerland;GHGs;kg CO2e;557.902541673;40.9931634988
3.0;Synthetic Fibers;Synthetic Fibers - elastic;Processing;Switzerland;GHGs;kg CO2e;1.2463129035;0.0915756871633
3.0;Synthetic Stones;Synthetic Stones;Processing;Switzerland;GHGs;kg CO2e;171.371265706;12.5918951597
3.0;Synthetic Stones;Synthetic Stones - sapphire glass;Processing;Switzerland;GHGs;kg CO2e;171.371265706;12.5918951597
3.0;Metal;Metal - brass - conventional;Processing;Switzerland;GHGs;kg CO2e;0.140042063085;0.0102899104412
3.0;Metal;Metal - silver - recycled;Processing;Switzerland;GHGs;kg CO2e;352.179628202;25.8772025604
4.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Extraction;Switzerland;GHGs;kg CO2e;0.2032088203;0.0149312322005
4.0;Wood;Wood - softwood;Production;Switzerland;GHGs;kg CO2e;0.0209126363;0.0015366037166
3.0;Synthetic Fibers;Synthetic Fibers - acrylic;Processing;Taiwan;GHGs;kg CO2e;7.76727916689;0.570718577253
3.0;Synthetic Fibers;Synthetic Fibers - elastic;Processing;Taiwan;GHGs;kg CO2e;2.77800062505;0.204119940879
3.0;Synthetic Fibers;Synthetic Fibers - neoprene;Processing;Taiwan;GHGs;kg CO2e;4.13837763344;0.304076748671
3.0;Synthetic Fibers;Synthetic Fibers - polyester - recycled;Processing;Taiwan;GHGs;kg CO2e;8.29041180538;0.609156942701
3.0;Plastic;Plastic - nylon - eyewear;Processing;Taiwan;GHGs;kg CO2e;2.0342477733;0.149471001365
3.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Processing;Taiwan;GHGs;kg CO2e;41.2203159098;3.02875685868
4.0;Plastic;Plastic - pe;Extraction;Taiwan;GHGs;kg CO2e;0.2031788731;0.0149290317616
4.0;Natural Stones;Natural Stones - semi precious stones - conventional;Extraction;Tajikistan;GHGs;kg CO2e;0.0306308068;0.00225066849039
3.0;Natural Stones;Natural Stones - semi precious stones - conventional;Processing;Tanzania;GHGs;kg CO2e;0.8408172317;0.0617809665257
4.0;Natural Stones;Natural Stones - semi precious stones - conventional;Extraction;Tanzania;GHGs;kg CO2e;0.0306308068;0.00225066849039
3.0;Animal Fibers;Animal Fibers - wool - conventional;Washing;Thailand;GHGs;kg CO2e;0.938288827246;0.0689429146336
3.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Processing;Thailand;GHGs;kg CO2e;5.7317875492;0.42115618158
3.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Processing;Thailand;GHGs;kg CO2e;24.0117030254;1.76431472252
4.0;Plant Fibers;Plant Fibers - cotton - conventional;Crop farming;Thailand;GHGs;kg CO2e;4.17534806695;0.306793235714
4.0;Animal Fibers;Animal Fibers - wool - conventional;Animal rearing;Thailand;GHGs;kg CO2e;127.206522082;9.34678974968
4.0;Plastic;Plastic - acetal;Extraction;Thailand;GHGs;kg CO2e;2.69716684238;0.198180494073
4.0;Plastic;Plastic - polystyrene;Extraction;Thailand;GHGs;kg CO2e;0.1806930945;0.0132768378214
4.0;Synthetic Fibers;Synthetic Fibers - elastic;Extraction;Thailand;GHGs;kg CO2e;0.0690974841;0.0050770954629
4.0;Metal;Metal - brass - conventional;Extraction;Thailand;GHGs;kg CO2e;12.6793491907;0.931644141418
4.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Extraction;Thailand;GHGs;kg CO2e;0.9514785994;0.069912063268
4.0;Rubber;Rubber - natural;Production;Thailand;GHGs;kg CO2e;0.0209126363;0.0015366037166
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - RH_WB;Tunisia;GHGs;kg CO2e;0.8609904491;0.0632632397498
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - WB_FL;Tunisia;GHGs;kg CO2e;0.005130195;0.00037695279499
4.0;Plant Fibers;Plant Fibers - cotton - conventional;Crop farming;Tunisia;GHGs;kg CO2e;0.988590673797;0.0726389576983
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;Turkey;GHGs;kg CO2e;0.4547176683;0.0334114192535
3.0;Cellulose based Fibers;Cellulose based Fibers - certified;Spinning Weaving and Dyeing;Turkey;GHGs;kg CO2e;4.94900102906;0.363639154129
3.0;Plant Fibers;Plant Fibers - cotton - conventional;Spinning Weaving and Dyeing;Turkey;GHGs;kg CO2e;4.66766769496;0.34296754484
3.0;Plant Fibers;Plant Fibers - cotton - organic;Spinning Weaving and Dyeing;Turkey;GHGs;kg CO2e;4.66766769496;0.34296754484
3.0;Synthetic Fibers;Synthetic Fibers - acrylic;Spinning Weaving and Dyeing;Turkey;GHGs;kg CO2e;4.94900102906;0.363639154129
3.0;Synthetic Fibers;Synthetic Fibers - elastic;Spinning Weaving and Dyeing;Turkey;GHGs;kg CO2e;4.94900102906;0.363639154129
3.0;Synthetic Fibers;Synthetic Fibers - nylon - Econyl;Spinning Weaving and Dyeing;Turkey;GHGs;kg CO2e;4.94900102906;0.363639154129
3.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Spinning Weaving and Dyeing;Turkey;GHGs;kg CO2e;9.89800205812;0.727278308257
3.0;Synthetic Fibers;Synthetic Fibers - polyester - recycled;Spinning Weaving and Dyeing;Turkey;GHGs;kg CO2e;4.94900102906;0.363639154129
3.0;Leather;Leather - beef - calf - conventional;Tanning - RH_WB;Turkey;GHGs;kg CO2e;0.8661206441;0.0636401925448
3.0;Leather;Leather - beef - calf - conventional;Tanning - WB_FL - Metal-free;Turkey;GHGs;kg CO2e;0.9539095634;0.0700906839003
3.0;Leather;Leather - beef - calf - salpa;Tanning - WB_FL;Turkey;GHGs;kg CO2e;0.0017563664;0.000129053032781
3.0;Animal Fibers;Animal Fibers - wool - conventional;Washing;Turkey;GHGs;kg CO2e;0.931784534162;0.0684649968434
3.0;Plant Fibers;Plant Fibers - cotton - conventional;Ginning;Turkey;GHGs;kg CO2e;0.53856541016;0.0395723235949
3.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Processing;Turkey;GHGs;kg CO2e;3.7944282913;0.278804285177
3.0;Metal;Metal - brass - conventional;Processing;Turkey;GHGs;kg CO2e;0.170230678298;0.0125080878948
4.0;Leather;Leather - sheep - lamb - conventional;Animal rearing;Turkey;GHGs;kg CO2e;11.5396262706;0.847900396738
4.0;Plant Fibers;Plant Fibers - linen - conventional;Crop farming;Turkey;GHGs;kg CO2e;0.971811196595;0.0714060472866
4.0;Animal Fibers;Animal Fibers - mohair - conventional;Animal rearing;Turkey;GHGs;kg CO2e;179.729542707;13.2060386527
4.0;Plant Fibers;Plant Fibers - cotton - organic;Crop farming;Turkey;GHGs;kg CO2e;1.41254754967;0.103790157471
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;Turkey;GHGs;kg CO2e;0.08485613917;0.00623499863694
4.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Extraction;Turkey;GHGs;kg CO2e;0.2032088203;0.0149312322005
4.0;Leather;Leather - beef - calf - conventional;Animal rearing;Uganda;GHGs;kg CO2e;26.7478577867;1.96535994298
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;United Kingdom;GHGs;kg CO2e;0.4547176683;0.0334114192535
3.0;Animal Fibers;Animal Fibers - mohair - conventional;Spinning Weaving and Dyeing;United Kingdom;GHGs;kg CO2e;4.65122245921;0.341759193583
3.0;Animal Fibers;Animal Fibers - wool - restorative grazing;Spinning Weaving and Dyeing;United Kingdom;GHGs;kg CO2e;4.65122245921;0.341759193583
3.0;Plant Fibers;Plant Fibers - cotton - conventional;Spinning Weaving and Dyeing;United Kingdom;GHGs;kg CO2e;4.48245541706;0.329358649697
3.0;Plant Fibers;Plant Fibers - cotton - recycled;Spinning Weaving and Dyeing;United Kingdom;GHGs;kg CO2e;4.48245541706;0.329358649697
3.0;Plant Fibers;Plant Fibers - linen - organic;Spinning Weaving and Dyeing;United Kingdom;GHGs;kg CO2e;4.48245541706;0.329358649697
3.0;Synthetic Fibers;Synthetic Fibers - neoprene;Spinning Weaving and Dyeing;United Kingdom;GHGs;kg CO2e;4.76378875116;0.350030258985
3.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Spinning Weaving and Dyeing;United Kingdom;GHGs;kg CO2e;4.76378875116;0.350030258985
3.0;Leather;Leather - beef - calf - conventional;Tanning - WB_FL;United Kingdom;GHGs;kg CO2e;1.0541711125;0.0774576302178
3.0;Synthetic Fibers;Synthetic Fibers - acrylic;Processing;United Kingdom;GHGs;kg CO2e;3.415741349;0.250979397171
3.0;Synthetic Fibers;Synthetic Fibers - elastic;Processing;United Kingdom;GHGs;kg CO2e;1.2463129035;0.0915756871633
3.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Processing;United Kingdom;GHGs;kg CO2e;3.7944282913;0.278804285177
4.0;Animal Fibers;Animal Fibers - wool - conventional;Animal rearing;United Kingdom;GHGs;kg CO2e;127.185411231;9.34523858166
4.0;Synthetic Fibers;Synthetic Fibers - acrylic;Extraction;United Kingdom;GHGs;kg CO2e;0.1832779286;0.0134667644107
4.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Extraction;United Kingdom;GHGs;kg CO2e;0.2032088203;0.0149312322005
3.0;Precious skin;Precious skin - croc and gator - farmed;Abattoir;United States;GHGs;kg CO2e;6.96373291286;0.511676180939
3.0;Leather;Leather - beef - calf - salpa;Abattoir;United States;GHGs;kg CO2e;0.000855518;6.28611390531e-05
3.0;Animal Fibers;Animal Fibers - cashmere - conventional;Spinning Weaving and Dyeing;United States;GHGs;kg CO2e;5.89958173521;0.433485242639
3.0;Animal Fibers;Animal Fibers - mohair - conventional;Spinning Weaving and Dyeing;United States;GHGs;kg CO2e;5.89958173521;0.433485242639
3.0;Animal Fibers;Animal Fibers - mohair - restorative grazing;Spinning Weaving and Dyeing;United States;GHGs;kg CO2e;5.89958173521;0.433485242639
3.0;Animal Fibers;Animal Fibers - silk - organic;Spinning Weaving and Dyeing;United States;GHGs;kg CO2e;5.89958173521;0.433485242639
3.0;Animal Fibers;Animal Fibers - wool - conventional;Spinning Weaving and Dyeing;United States;GHGs;kg CO2e;5.89958173521;0.433485242639
3.0;Animal Fibers;Animal Fibers - wool - restorative grazing;Spinning Weaving and Dyeing;United States;GHGs;kg CO2e;5.89958173521;0.433485242639
3.0;Cellulose based Fibers;Cellulose based Fibers - certified;Spinning Weaving and Dyeing;United States;GHGs;kg CO2e;6.09371560925;0.447749672436
3.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Spinning Weaving and Dyeing;United States;GHGs;kg CO2e;5.66634587773;0.4163477053
3.0;Plant Fibers;Plant Fibers - linen - conventional;Spinning Weaving and Dyeing;United States;GHGs;kg CO2e;5.66634587773;0.4163477053
3.0;Plastic;Plastic - pp;Spinning Weaving and Dyeing;United States;GHGs;kg CO2e;6.09371560925;0.447749672436
3.0;Animal Fibers;Animal Fibers - wool - conventional;Washing;United States;GHGs;kg CO2e;0.930689117293;0.0683845085871
3.0;Cellulose based Fibers;Cellulose based Fibers - certified;Dissolving pulp production;United States;GHGs;kg CO2e;3.28146585801;0.241113198785
3.0;Plant Fibers;Plant Fibers - cotton - organic;Ginning;United States;GHGs;kg CO2e;0.661098042477;0.0485756886189
3.0;Wood;Wood - softwood;Processing;United States;GHGs;kg CO2e;0.171515894588;0.0126025220972
3.0;Plastic;Plastic - nylon - eyewear;Processing;United States;GHGs;kg CO2e;1.23467027172;0.0907202182012
4.0;Leather;Leather - beef - calf - conventional;Animal rearing;United States;GHGs;kg CO2e;28.8977563691;2.12332865169
4.0;Leather;Leather - beef - calf - salpa;Animal rearing;United States;GHGs;kg CO2e;0.0481468805452;0.00353770201553
4.0;Cellulose based Fibers;Cellulose based Fibers - certified;Pulpwood harvest;United States;GHGs;kg CO2e;0.160347325941;0.0117818860068
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;United States;GHGs;kg CO2e;0.086801972024;0.00637797315017
4.0;Plastic;Plastic - pe;Extraction;United States;GHGs;kg CO2e;0.2031788731;0.0149290317616
4.0;Synthetic Fibers;Synthetic Fibers - acrylic;Extraction;United States;GHGs;kg CO2e;0.1832779286;0.0134667644107
4.0;Plastic;Plastic - nylon - eyewear;Extraction;United States;GHGs;kg CO2e;6.7411470713;0.495321177844
3.0;Animal Fibers;Animal Fibers - wool - restorative grazing;Washing;Uruguay;GHGs;kg CO2e;1.55501613561;0.114258362221
4.0;Animal Fibers;Animal Fibers - wool - restorative grazing;Animal rearing;Uruguay;GHGs;kg CO2e;147.016693684;10.8023873546
3.0;Precious skin;Precious skin - snake - farmed;Abattoir;Vietnam;GHGs;kg CO2e;6.34013613522;0.465855983406
3.0;Plastic;Plastic - acetal;Processing;Vietnam;GHGs;kg CO2e;36.2109864048;2.66068493199
3.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Processing;Vietnam;GHGs;kg CO2e;13.3108577713;0.978045676748
3.0;Natural Stones;Natural Stones - precious stones - conventional;Processing;Vietnam;GHGs;kg CO2e;8180.4362171;601.076235168
3.0;Plastic;Plastic - nylon - eyewear;Processing;Vietnam;GHGs;kg CO2e;2.71183411354;0.199258205322
3.0;Metal;Metal - brass - conventional;Processing;Vietnam;GHGs;kg CO2e;0.193000396215;0.0141811449248
4.0;Precious skin;Precious skin - snake - farmed;Animal rearing;Vietnam;GHGs;kg CO2e;78.0801843671;5.73711988152
4.0;Metal;Metal - brass - conventional;Extraction;Vietnam;GHGs;kg CO2e;20.5644309293;1.51101853169
4.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Extraction;Vietnam;GHGs;kg CO2e;0.9514785994;0.069912063268
3.0;Natural Stones;Natural Stones - precious stones - conventional;Processing;Zambia;GHGs;kg CO2e;8186.90462096;601.551515915
3.0;Plant Fibers;Plant Fibers - cotton - organic;Ginning;Zimbabwe;GHGs;kg CO2e;0.683226926543;0.0502016589181
3.0;Metal;Metal - platinum;Processing;Zimbabwe;GHGs;kg CO2e;8783.4039858;645.380669152
4.0;Precious skin;Precious skin - croc and gator - farmed;Animal rearing;Zimbabwe;GHGs;kg CO2e;85.5083949678;6.28292462143
4.0;Metal;Metal - platinum;Extraction;Zimbabwe;GHGs;kg CO2e;6003.38368556;441.112328025
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Albania;Waste;kg;0.0304872067;0.00199742097822
4.0;Leather;Leather - beef - calf - conventional;Animal rearing;Albania;Waste;kg;0.0461055608533;0.00302038390557
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Algeria;Waste;kg;0.0588939208441;0.00110442626987
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - RH_WB - Metal-free;Algeria;Waste;kg;0.0080317865;0.000150617940123
3.0;Leather;Leather - beef - calf - conventional;Tanning - RH_WB;Algeria;Waste;kg;0.0097323321;0.000182507259996
3.0;Precious skin;Precious skin - snake - wild;Abattoir;Argentina;Waste;kg;0.116566278001;0.00578179558971
3.0;Animal Fibers;Animal Fibers - wool - conventional;Washing;Argentina;Waste;kg;0.0602870462436;0.00299066165013
3.0;Animal Fibers;Animal Fibers - wool - restorative grazing;Washing;Argentina;Waste;kg;0.0605088782253;0.00300166340848
3.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Dissolving pulp production;Argentina;Waste;kg;0.291865567288;0.0144790058538
3.0;Metal;Metal - silver;Processing;Argentina;Waste;kg;0.0003136285;1.57785282586e-05
4.0;Precious skin;Precious skin - snake - farmed;Animal rearing;Argentina;Waste;kg;0.00403261041568;0.000200008854175
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;Argentina;Waste;kg;0.011024600334;0.000546761006896
3.0;Animal Fibers;Animal Fibers - wool - conventional;Washing;Australia;Waste;kg;0.194975216831;0.00487655920988
3.0;Leather;Leather - beef - calf - conventional;Tanning - RH_WB - Metal-free;Australia;Waste;kg;0.0080317865;0.000200893318496
3.0;Plant Fibers;Plant Fibers - cotton - organic;Ginning;Australia;Waste;kg;0.101130165061;0.00252931038855
3.0;Metal;Metal - brass - conventional;Processing;Australia;Waste;kg;0.00433383635446;0.000108560413588
3.0;Metal;Metal - nickel;Processing;Australia;Waste;kg;1.02409099569;0.025611238113
4.0;Leather;Leather - beef - calf - conventional;Animal rearing;Australia;Waste;kg;0.0676338605108;0.00169161885634
4.0;Metal;Metal - gold - 18kt - yellow - conventional;Extraction;Australia;Waste;kg;27.2994070568;0.702901981335
4.0;Metal;Metal - gold - 24kt - conventional;Extraction;Australia;Waste;kg;36.326550338;0.935331824358
4.0;Natural Stones;Natural Stones - semi precious stones - conventional;Extraction;Australia;Waste;kg;7.3313663843e-05;1.88774203646e-06
4.0;Animal Fibers;Animal Fibers - wool - conventional;Animal rearing;Australia;Waste;kg;0.033369475228;0.000841852964187
4.0;Metal;Metal - bronze;Extraction;Australia;Waste;kg;1.80196e-05;4.64114738562e-07
4.0;Metal;Metal - neodymium;Extraction;Australia;Waste;kg;1.80196e-05;4.64114738562e-07
4.0;Metal;Metal - zamak;Extraction;Australia;Waste;kg;1.80196e-05;4.64114738562e-07
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Austria;Waste;kg;0.0304872067;0.000355344644084
3.0;Animal Fibers;Animal Fibers - wool - organic;Spinning Weaving and Dyeing;Austria;Waste;kg;0.0378632855908;0.000442280270046
3.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Spinning Weaving and Dyeing;Austria;Waste;kg;0.0535844380156;0.000626973927489
3.0;Plant Fibers;Plant Fibers - linen - conventional;Spinning Weaving and Dyeing;Austria;Waste;kg;0.0535844380156;0.000626973927489
3.0;Synthetic Fibers;Synthetic Fibers - acrylic;Spinning Weaving and Dyeing;Austria;Waste;kg;0.0534057797156;0.000624710916585
3.0;Cellulose based Fibers;Cellulose based Fibers - certified;Dissolving pulp production;Austria;Waste;kg;0.04732;0.00055470362332
